Name,10/27/21,10/28/21,10/31/21,11/04/21,11/05/21,11/06/21,11/08/21,11/11/21,11/21/21,11/22/21,11/24/21,11/26/21,11/30/21,12/02/21,12/05/21,12/11/21,12/12/21,12/15/21,12/17/21,12/26/21,12/30/21,12/31/21,01/06/22,01/09/22,01/18/22,01/19/22,01/20/22,01/24/22,01/25/22,01/26/22,02/02/22,02/05/22,02/07/22,02/27/22
ASUS GeForce GTX 1650 TUF Gaming Overclocked Dual-Fan 4GB GDDR6,219.99,219.99,219.99,219.99,219.99,219.99,219.99,219.99,219.99,219.99,219.99,219.99,219.99,219.99,219.99,219.99,219.99,219.99,219.99,219.99,219.99,219.99,219.99,219.99,,,,,,,,,,
ASUS GeForce GTX 1660 Super Phoenix Overclocked Single-Fan 6GB GDDR6,,,,,,,,,,,,,,,,,,,,,,,,,319.99,319.99,319.99,319.99,319.99,319.99,319.99,319.99,319.99,319.99
ASUS GeForce GTX 1660 Super TUF Overclocked Dual-Fan 6GB GDDR6,329.99,329.99,329.99,329.99,329.99,329.99,329.99,329.99,329.99,329.99,329.99,329.99,329.99,329.99,329.99,329.99,329.99,329.99,329.99,329.99,329.99,329.99,329.99,329.99,,,,,,,,,,
ASUS GeForce RTX 2060 Dual Overclocked Dual-Fan 6GB GDDR6,439.99,439.99,439.99,439.99,439.99,439.99,439.99,439.99,439.99,439.99,439.99,439.99,439.99,439.99,439.99,439.99,439.99,439.99,439.99,439.99,439.99,439.99,439.99,439.99,,,,,,,,,,
ASUS GeForce RTX 3060 Ti ROG Strix Overclocked Triple-Fan 8GB GDDR6,,,,,,,,,,,,,,,,,,,,649.99,,,,,,,,,,,,,,
ASUS GeForce RTX 3070 Dual Overclocked Dual-Fan 8GB GDDR6,,,,,,,,,679.99,679.99,,,,,679.99,679.99,679.99,679.99,679.99,679.99,679.99,679.99,679.99,679.99,,,,,,,,,,
ASUS GeForce RTX 3070 KO Overclocked Dual-Fan 8GB GDDR6,,,,,729.99,729.99,729.99,729.99,,,,,,,,,,,,,,,,,,,,,,,,,,
ASUS GeForce RTX 3070 ROG Strix Overclocked Triple-Fan 8GB GDDR6,,,,,,779.99,,,779.99,779.99,779.99,779.99,779.99,779.99,779.99,779.99,779.99,779.99,779.99,779.99,779.99,779.99,779.99,779.99,,,,,,,,,,
ASUS GeForce RTX 3070 TUF Overclocked Triple-Fan 8GB GDDR6,,,,749.99,749.99,749.99,749.99,749.99,749.99,,,,,,,,,,,,,749.99,,,,,,,,,,,,
ASUS GeForce RTX 3080 Strix Overclocked Triple-Fan 10GB GDDR6X,,,,,1099.99,1099.99,1099.99,,,,,,,,,,,,,,,,,,,,1099.99,1099.99,1099.99,1099.99,,,,
ASUS GeForce RTX 3080 TUF Gaming Overclocked Triple-Fan 10GB GDDR6X,,,,,,,,,,,,,,,,1049.99,1049.99,1049.99,1049.99,,,,,,,,,,,,,,,
ASUS GeForce RTX 3080 TUF Gaming Triple-Fan 10GB GDDR6X,,,,,,,,,,,,,,,1029.99,1029.99,1029.99,1029.99,,,,,,,,,,,,,,,,
ASUS GeForce RTX 3090 Strix Overclocked Triple-Fan 24GB GDDR6X,,,,,2229.99,2229.99,2229.99,2229.99,2229.99,2229.99,2229.99,2229.99,2229.99,2229.99,2229.99,2229.99,2229.99,2229.99,2229.99,2229.99,2229.99,2229.99,2229.99,2229.99,,,,,,,,,,
